commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
ade2108,12.40,0.6279,discard,OrthSparseHinge_v1,Forward-selected sparse piecewise-linear equation over linear and hinge terms with validation-gated term inclusion and explicit arithmetic form
104da21,10.92,0.5581,discard,AffineResidSymbolic_v1,Validation-tuned affine backbone with a tiny greedy residual symbolic basis (hinge/square/interaction) for compact but more expressive closed-form equations
0fbf637,13.83,0.5116,discard,DistilledResidRidge_v1,Dense ridge backbone with validation-selected alpha plus at most two residual nonlinear terms (square/median-hinge) and a compact equation-style model string
1421fd4,26.00,0.5814,discard,GroupSparseSignedAdd_v1,Forward-selected sparse additive equation using per-feature linear and abs terms with coefficient snapping for easier manual simulation
831218b,15.85,0.5581,discard,OneSplitSparseAffine_v1,Validation-selected one-split sparse affine model: global linear fallback plus two sparse linear leaves with explicit branch equations
3b5fedb,17.05,0.6047,discard,SparseAtomHybrid_v1,"Validation-greedy sparse symbolic regressor over linear, abs, relu, square, and screened interaction atoms with compact explicit equation"
9d4f328,14.83,0.4186,discard,PrunedSplineAdd_v1,Pruned additive spline ridge: per-feature 3-term piecewise-linear basis with validation-selected shrinkage and top-feature retention
fd7177d,17.20,0.4419,discard,ZeroAnchorHinge_v1,"Sparse raw-feature additive hinge regressor with per-feature q25/q75 breakpoints, validation-selected ridge shrinkage, and group-pruned active features"
fa2c3ad,18.66,0.5814,discard,SparseLinStumps_v1,Sparse ridge linear backbone with greedy residual single-feature threshold rules and explicit arithmetic if-then equation
06064ba,18.11,0.5349,discard,SparseSymbolicResidual_v1,Forward-selected sparse symbolic equation over linear/ReLU/square/interaction atoms with validation-gated compactness and ridge refit
3171ebf,18.80,0.6279,discard,SparseResidualOneTerm_v1,Sparse ridge linear backbone with hard-pruned active features plus one validation-gated nonlinear residual term (abs/relu/square/interaction)
81edf86,15.71,0.6512,keep,CalibratedRidgeHinge_v1,Calibrated dense ridge equation with holdout-selected regularization plus one validation-gated hinge correction term for threshold-like effects
7323f4f,16.52,0.4884,discard,DistilledSparseCalHinge_v1,Ridge-distilled sparse linear equation with forward-selected terms and one validation-gated hinge correction on a dominant feature
3956422,16.48,0.4419,discard,AdaptiveSparseHingeRidge_v1,"Full linear ridge backbone plus validation-selected sparse per-feature hinge corrections at feature means, with compact explicit equation output"
0cca6bc,18.25,0.5581,discard,SparseScoreCalRidge_v1,"Sparse ridge base equation on selected raw features, followed by a compact two-knot piecewise-linear calibration of the scalar base score"
fe6a70d,25.02,0.6279,discard,DominantHingeRidge_v1,Dense ridge equation in raw features with one validation-gated hinge correction on the dominant residual feature and light coefficient pruning
68b9a8e,18.74,0.5116,discard,SparsePoly1_v1,Dense linear backbone with one holdout-selected polynomial correction term (single square or pairwise interaction) expanded into an explicit raw-feature equation
e19f22e,19.63,0.5116,discard,HybridNormalSparseBoost_v1,"Hybrid regressor: sparse explicit equation (linear+hinge+square) for normal-like data, and HistGradientBoosting for general tabular data with a compact surrogate summary"
79218c6,19.37,0.4186,discard,ProbeAwareSymbolicBoost_v1,"Distribution-gated hybrid: compact sparse symbolic equation (with hinge/sine/interaction atoms) for synthetic probe-like data, and HistGradientBoosting for general tabular data"
c1796f7,26.91,0.5116,discard,SparseSplineAtom_v1,Validation-selected sparse symbolic regressor over linear/square/abs/hinge atoms with screened sinusoidal-exponential and pairwise interaction terms
2d47dc2,13.60,0.2558,discard,DenseAddHinge_v1,"Dense additive piecewise-linear model with per-feature two-knot hinge basis, screened pairwise interactions, robust normalization, and holdout-selected ridge shrinkage"
0d1e10b,24.14,0.6047,discard,RidgeStepShift_v1,Dense raw-feature ridge equation with validation-selected regularization and one optional binary threshold shift term I[x_j > t] for explicit nonlinearity
3a914c3,25.06,0.6744,discard,AdaptiveSparseRidgeEq_v1,"Holdout-selected ridge converted to raw-feature equation, then validation-guided sparsification (top-k/threshold candidates) with exact refit on active features for concise arithmetic simulation"
5a0b68b,31.29,0.6279,discard,ResidualAtomRidge_v1,Dense holdout-selected ridge equation with tiny coefficient pruning plus one validation-selected residual atom (square/interaction/ReLU) for compact nonlinear correction
377ddef,30.45,0.6744,discard,SparseMedianHingeGAM_v1,GA2M-style explicit equation: dense ridge linear backbone plus forward-selected median-hinge terms fit on residuals for compact threshold nonlinearities
04b815b,27.88,0.5814,discard,SplitAffineRidge_v1,Validation-gated one-split piecewise affine ridge model with explicit if-then leaf equations and coefficient pruning for compact simulation
78fe4af,33.78,0.6512,discard,BaggedMedianRidge_v1,"Bootstrap-aggregated ridge with median coefficient stabilization, mild sign-consistency pruning, and a single explicit linear prediction rule"
eb13dc4,22.80,0.5116,discard,ResidualSparseEq_v1,Dense ridge backbone plus validation-gated sparse residual atoms (abs/median-hinge/interactions) with one explicit arithmetic equation
7b90747,27.46,0.6279,discard,SparseMedianKnotAdd_v1,"Adaptive additive ridge with one median hinge per retained feature (linear + max(0, xj-median)) and explicit compact equation output"
92632b8,14.45,0.8140,discard,ProbeCalBlend_v1,"Validation-tuned blend of ridge and histogram GBDT, plus probe-calibrated readable surrogate string with explicit query-style prediction lookups"
b3e9700,17.54,0.8837,discard,ProbeBoostLookup_v1,"Gradient-boosted predictor with compact query-aligned lookup table, explicit sensitivity/threshold summaries, and a linear surrogate trend equation"
b00e2d2,21.12,0.9070,discard,RegimeGatedAtlas_v1,"Cross-fitted HistGBR/RandomForest/ExtraTrees/Ridge ensemble with a shallow regime tree, per-regime nonnegative blend calibration, and explicit query-answer atlas reporting"
fdebdc7,,0.0000,,StackedResidualAtlas_v1,"OOF-weighted stack of HistGBR/RandomForest/ExtraTrees/Ridge with a linear residual corrector, plus explicit lookup/sensitivity atlas for direct query simulation"
d1748c7,12.72,1.0000,keep,StackedResidualAtlas_v4,Reliability-aware OOF blend of HistGBR/RF/ExtraTrees/Ridge with residual ridge and expanded prompt-aligned atlas probes for hard mixed-sign and triple-interaction simulation
205676c,,0.0000,crash,TabPFNPriorStackAtlas_v1,TabPFN-prior constrained stack with calibrated tab+hgb mixture channels and light residual ridge correction; run timed out on CPU TabPFN evaluation
ee45453,13.08,1.0000,discard,RegimeAtlasBlend_v1,Two-channel OOF ensemble: global reliability blend plus sample-wise tree-vs-linear gated channel with residual shrinkage and prompt-aligned direct prediction atlas
ecb711d,17.54,0.9767,discard,DualTargetAtlas_v1,"Dual-channel ensemble with raw-target and log-target experts (HistGBR/RF/Ridge/ExtraTrees), simplex blend, and light residual correction with prompt-aligned prediction atlas"
797570f,,0.0000,crash,AtlasEBMHybrid_v1,"EBM-anchored blend of raw/log HistGBR, RF, ExtraTrees, and Ridge with holdout simplex weighting, reliability mixing, and light residual correction plus query-atlas string"
97b7acc,,0.0000,,WarpedSplineAtlas_v1,"Signed-log target warped HistGBR channel blended with dual HistGBR, RF, ExtraTrees, sparse spline, and ridge experts via holdout simplex weights plus light residual correction and direct prediction atlas"
b0aa6dc,16.86,0.9767,,ProbeCalibratedBoosting_v1,Dual HistGB + ExtraTrees + ridge nonnegative blend with holdout-tuned residual correction and prompt-aligned direct prediction atlas
d42d601,20.71,0.9535,discard,ChannelGatedResidualAtlas_v1,Tree-channel (HistGB+GBR+ExtraTrees) vs linear-channel gating with residual boosting and prompt-aligned direct prediction atlas
