commit,n_solved,geo_mean_time,n_wrong,mean_objective,mean_regret,exact,multicore,status,model_name,description
7a0c550,63,0.012,0,0.3077,0.0003,exact,false,keep,v9_budget_deepening,"v8 + alternating budget deepening: the two children of a split are searched with budgets that grow geometrically from their lower bounds (2 lambda, 4 lambda, ...) and alternate, so a losing branch fails at a small budget and each child's rising bound tightens the other's budget; the solve contract is unchanged, so the search stays exact"
7a0c550,63,0.011,0,0.3077,0.0003,exact,false,keep,v10_depth2_everywhere_cheap,"v9 + the depth-2 pairwise stage also runs on every node where it is cheap (candidates^2 x words <= 32k word-ops, i.e. the narrow binary datasets), not only where many candidates survive, so exact resolution below 4 lambda and the min(leaf, 2 lambda + best2, 3 lambda) child bounds apply throughout those searches"
7a0c550,63,0.011,0,0.3077,0.0003,exact,false,keep,v13_numba_candidate_prep,"v10 + the per-node preparation (split bounds, the neighbouring-threshold exchange test, the cheap filter and the candidate ordering) runs in one numba kernel instead of ~12 small numpy calls; same bounds, same order, same search"
6c8ba3c,63,0.011,0,0.3077,0.0003,exact,false,keep,v14_hardened_superset_lb,"v13 + exactness hardening for every accepted input (the inherited leaf test 1 - min_loss < lambda assumed losses <= 1 and is dropped; a user upperbound is a budget, never an achievable value) + the superset bound: R(C) >= R(child) for every child of every split, so the node's lower bound is raised to the largest proven child bound (restricting an optimal tree to a subset never increases its risk)"
6c8ba3c,63,0.009,0,0.3077,0.0003,exact,false,keep,v15_shape_relaxation,"v14 + shape-relaxation bound from the pairwise counts: every tree with >= 4 leaves has a root split with a- and b-leaf subtrees; with exact 1- and 2-leaf values, a peeled-leaf bound 3 lambda + min cell cost for 3-leaf subtrees and a lambda otherwise, the minimum over (split, a, b) lower-bounds all such trees. A node whose best depth-2 tree is no worse than that bound is solved at any budget; children get lb = min(leaf, 2 lambda + best2, 3 lambda + best cell, 4 lambda)"
6c8ba3c,63,0.01,0,0.3077,0.0003,exact,false,discard,v16_fused_expansion,"v15 with the same search and bounds but a cheaper node expansion: 76% of expansions on the binary datasets are probes pruned by the kernel stage, so node_stats, the candidate preparation, the pairwise kernel and the shape bound run as one numba call on one workspace (5 allocations instead of 23 per node, one dispatch instead of four), node_stats derives the class counts itself, and the best depth-2 tree is only stored in the memo when the node survives the shape relaxation"
6c8ba3c,63,0.009,0,0.3077,0.0003,exact,false,keep,v16b_fused_expansion,"v15 with the same search and bounds but a cheaper node expansion: 76% of expansions on the binary datasets are probes pruned by the kernel stage, so node_stats, the candidate preparation, the pairwise kernel and the shape bound run as one numba call on one workspace (5 allocations instead of 23 per node, one dispatch instead of four), node_stats derives the class counts itself, and the best depth-2 tree is only stored in the memo when the node survives the shape relaxation; the pairwise stage is skipped on single-column nodes, which the segmentation DP solves exactly"
6c8ba3c,63,0.009,0,0.3077,0.0003,exact,false,keep,v18_expansion_cache_kernel_predictions,"v16b + the budget-independent part of a node's expansion (child statistics, pairwise kernel, shape bound) is kept on the node while its parent deepens its budget, so the 27% of expansions that are re-expansions skip the kernel stage; probes return before any slicing; and the kernel also reports each child's leaf prediction, so creating a child node no longer recomputes its class counts from the big-int mask"
5a05e80,63,0.009,0,0.3077,0.0003,exact,false,discard,v19_depth3_triples,"v18 + an exact depth-3 stage on narrow nodes: the class counts of every triple of candidate splits give, for every child, the exact best 3-leaf tree and the exact best (2,2) tree, so each child's achievable risk is min over 1, 2, 3 and (2,2)-leaf trees and its lower bound min(that, 4 lambda + cheapest peeled cell, 5 lambda + cheapest peeled cell or 2-leaf cell, 6 lambda); the node is solved without expanding any child whenever the best such tree is no worse than that bound (every budget below 5 lambda), and the probes that only existed to learn a child's 3-leaf value disappear"
5a05e80,63,0.009,0,0.3077,0.0003,exact,false,keep,v20_two_peeled_leaves,"v19 + tighter floors for the subtrees the depth-3 stage does not enumerate: a (1,3) or (3,1) subtree on a child has a leaf at depth 1 and a leaf at depth 2, both cells known from the triples, so 4-leaf trees cost >= 4 lambda + min over splits of leaf(A) + cheapest sub-cell of B; (2,3)/(3,2) trees >= 5 lambda + best 2-leaf(A) + cheapest sub-cell of B; (3,3) trees >= 6 lambda + cheapest sub-cell of A + cheapest sub-cell of B"
5a05e80,63,0.008,0,0.3077,0.0003,exact,false,keep,v21_python_overhead,"v20 with Python overhead removed, same search and bounds: the memory guard shelled out to ps every 1024 iterations (4 ms each, 11% of tic-tac-toe) and is now checked at most twice a second; the depth-2 incumbent's children are created from the kernel's leaf statistics instead of recomputing them from the big-int masks; the candidate refilter after the depth-2 stage runs in numba instead of five numpy calls"
5a05e80,63,0.008,0,0.3077,0.0003,exact,false,keep,v22_kernel_side_masks,"v21 + the node's class masks are built inside the expansion kernel from the capture words and the dataset's mask matrix (one numpy op and one allocation less per expansion), and the children's maximal lower bound (the superset bound) comes from a numba helper instead of two numpy reductions; same search and bounds"
5a05e80,63,0.008,0,0.3077,0.0003,exact,false,keep,v23_word_compaction,"v22 + rows sorted lexicographically by the source columns (most informative first) so deep capture sets occupy few 64-bit words, and an expansion whose mask leaves at least 30% of the words empty first copies the candidate features' words on the non-empty words only (inside the kernel); all kernels then run their unchanged contiguous loops on the compact copy.  Same search and bounds; row order does not change the problem"
e4570a3,63,0.008,0,0.3077,0.0003,exact,true,keep,v25_mc8_root_parallel,"v23 with a parallel phase on 8 cores: the search runs sequentially for 50 ms; if the root is not solved by then, 8 worker processes are forked (inheriting the memo and the root's expansion), pull the root's surviving candidate splits from a queue and solve each split's children exactly as the sequential loop does, with the incumbent shared in memory and only ever decreasing; a split is either solved or proven above an incumbent that is >= the final one, so the root is certified exactly as in the sequential loop. Small problems never fork"
e4570a3,63,0.006,0,0.3074,0.0000,exact,false,keep,v28_compiled_search,"v23 with the whole branch-and-bound compiled: nodes live in arrays (mask words, counts, bounds, split, deferred depth-3 structure) behind an open-addressing index, the recursive search with all its stages (kernel probes, single-column DP, depth-2/depth-3 stages, similar-support propagation, budget deepening) runs as one numba function, and Python only re-enters it in ~50 ms chunks to enforce the time and memory limits and to grow the store.  Same bounds and search order as v23; no Python objects per node"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,keep,v29_compiled_mc8,"v28 (compiled search) with the root-parallel phase of v25 on 8 cores: after 50 ms of sequential search the root's surviving candidate splits are handed to 8 forked workers, each running the compiled search on one split at a time with the shared incumbent as its bound (only ever decreasing); a split is solved exactly or proven above an incumbent that is >= the final one, so the root is certified as in the sequential loop"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,keep,v30_compiled_mc8_threads,"v29 with threads instead of forked processes for the parallel phase: the compiled search releases the GIL, so 8 Python threads run it concurrently on private copies of the memo (taken after the root's expansion) with the incumbent in a shared array; no fork, no queues, so the hand-off happens after 10 ms of sequential search instead of 50 ms and small problems benefit too.  Certification exactly as in v25/v29"
e4570a3,63,0.007,0,0.3074,0.0000,exact,true,discard,v31_frame_cache,"v30 + a per-frame expansion cache: the budget deepening re-solves a child several times with growing budgets, and each re-entry used to redo its kernels; now each depth has two frame slots (one per sibling), a slot keeps its node's expansion (kernel outputs, depth-2/3 values, raised bounds) and a re-entry with a larger budget only redoes the budget-dependent steps (probe checks, candidate filtering and ordering, exact-resolution tests).  Same search and bounds"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,keep,v32_shared_bound_table,"v31 + a lock-free lower-bound table shared by the 8 threads: each thread publishes the bounds it proves for subproblems with >= 1/16 of the rows in its own region of a table in shared memory (keys written once, bounds only raised), and every thread looks a node up in all regions before expanding it, so a subproblem another thread already pruned is pruned without being re-expanded.  Only lower bounds are shared, so certification is unchanged"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,keep,v33_fast_handoff,"v32 with the root handed to the 8 threads on time: the search returns to Python only at the end of an iteration chunk, and the first chunk (2000 expansions) took 50-125 ms on wide data, so the first chunk is now 500 expansions and every chunk before the hand-off is sized to end at the hand-off time (5 ms).  The threads' private stores are sized by the parent's contents instead of its capacity and their key arrays are not zeroed (keys are written in full before they are indexed).  Search and bounds unchanged"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,keep,v34_shared_solutions_live_incumbent,"v33 + two changes to the parallel phase: (1) the shared table also carries exactly solved subproblems (value written once per slot, NaN otherwise), so a thread entering a subproblem another thread solved adopts its optimum instead of re-expanding it; the tree is taken from the owner's store at extraction, after all threads joined; (2) an improved shared incumbent is pushed down the whole frame stack of a task (child budgets re-derived from the parents' bounds exactly as when pushed) instead of reaching only its root frame.  Only exact optima and lower bounds cross threads and budgets only tighten, so certification is unchanged"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,discard,v35_pooled_table,"v34 with the threads' shared table pooled across fits (allocating it cost 1-5 ms per fit, a large share of a 10 ms pair): one table per (threads, key width) is kept and only its used flags and value column are reset before the threads start (the reset happens-before every thread start, so the lock-free reads keep their guarantees); capacity 16384 slots per thread within the memory budget.  Hand-off after 3 ms instead of 5 ms.  Search and bounds unchanged"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,discard,v36_cached_root_handoff,"v35 with the root frame re-armed from the frame cache at the hand-off instead of re-expanded: the parent used to run the root's kernel stages (depth-2 pairs over every feature pair, depth-3 triples) a second time before starting the threads, which on wide data costs more than the sequential phase itself; the cache of v31 still holds that expansion, so only the budget-dependent steps are redone.  Search and bounds unchanged"
e4570a3,63,0.005,0,0.3074,0.0000,exact,true,keep,v37_gated_handoff,"v36 with the hand-off to the threads gated on the root's remaining work: at the end of a sequential chunk the root frame's position in its candidate order gives the completed and remaining candidates, and the threads are started only when at least two candidates remain and the remaining work, extrapolated from the elapsed time, exceeds twice the parallel set-up cost (about 4 ms); otherwise the search continues sequentially and the check repeats at the next chunk.  Fits of 3-6 ms no longer pay the parallel phase for nothing.  Search and bounds unchanged"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,keep,v39_own_memory_accounting,"v37 with the memory guard counting the solver's own live allocations (the main store, every thread's store and the pooled table) instead of the process RSS: on macOS freed large arrays stay in the allocator's cache and RSS never drops, so later fits in a long run were stopped 'for memory' within a second although they held almost nothing.  The cap (6 GB) and its meaning are unchanged; the measure is now deterministic.  Search and bounds unchanged"
e4570a3,63,0.005,0,0.3074,0.0000,exact,true,keep,v40_no_depth3_stage,"v39 with the depth-3 triple stage (v20) switched off by default (TRIPLE_MAX_NV = 0; the code stays available).  Under the compiled parallel engine an expansion costs microseconds, so the exact 3-leaf and (2,2) values the stage computes for every child (nv^3/6 triple kernels) cost more than the expansions they save: with it off, in the harness loop, car 0.6-0.7x, monk_2 0.7-0.85x, monk_3 0.58-0.88x, coupon 0.8-0.95x, nothing slower; it never ran on the wide or the large data sets (its gates exclude them).  Without the stage the exact small-tree rule uses the depth-2 values (3 leaves) as before v20.  Bounds unchanged"
e4570a3,63,0.006,0,0.3074,0.0000,exact,true,discard,v41_node_keyed_frame_cache,"v40 with the frame cache of v31 generalised from two slots per depth to a pool of cached frame slots keyed by node: a frame pushed for a node whose expansion is still in the pool re-arms it (budget-dependent steps only) instead of re-running its kernels; slots are handed out FIFO (never one on the current stack) and the node -> slot map is a small open-addressing table rebuilt when half full.  26-36% of the expansions on fico_binary, coupon, car and monk_2 (12-15% on tic-tac-toe and iris) were repeats of an already expanded node (budget deepening re-enters children, chunk re-entries restart from the root).  Pool size from a 16 MB per-workspace budget (64-2048 slots).  Search and bounds unchanged: a cached expansion is a pure function of the node"
baseline,0,0.131,0,0.3635,0.0562,approximate,false,baseline,split,"SPLIT (Babbar et al. 2025): lookahead-2 prefix + optimal GOSDT leaf completion, depth budget 5, same binarization; heuristic"
2aa0696,63,0.006,0,0.3074,0.0000,exact,false,keep,v40_sequential,"v40 run single-threaded (n_jobs=1): the compiled search of v28 plus the frame cache of v31 and the depth-3 stage switched off (v40); the parallel phase is never entered.  Recorded for the sequential leaderboard line (library use); exact, one core"
affdbe6,63,0.005,0,0.3074,0.0000,exact,true,keep,v43_greedy_seed,"v40 + a lookahead-greedy seed before the search (at each node the frame expansion's best tree - leaf, split with leaf children, or the pair stage's best two-level tree - chooses the split; both children are seeded; the greedy subtree value is installed when it beats the node's own; time-bounded to a quarter of the time limit, at most 0.1 s) so the search starts from a real incumbent, and search chunks scaled to the time limit (first chunk 4 expansions, then a twentieth of the limit, at most 50 ms) so short caps are honoured.  Exact: the seed only installs consistent structures and the bounds are unchanged"
3a9b14e,52,0.002,0,0.3091,0.0017,approximate,true,dominated,v43_anytime_10ms,"v43 run as an anytime method with the time limit capped at 10 ms per pair: returns the incumbent at the cap (certified only when the search finishes earlier).  Short caps are meaningful because search chunks scale with the cap (first chunk 4 expansions, then a twentieth of the cap), a time-bounded lookahead-greedy seed gives a full first tree, the hand-off is skipped when fewer than four hand-off costs remain, threads check the deadline before each task and start with a 4-expansion chunk; the cap is honoured to within a few expansions on wide data.  Approximate by the cap only, not by any change to the bounds"
3a9b14e,56,0.002,0,0.3087,0.0014,approximate,true,dominated,v43_anytime_20ms,"v43 run as an anytime method with the time limit capped at 20 ms per pair: returns the incumbent at the cap (certified only when the search finishes earlier).  Short caps are meaningful because search chunks scale with the cap (first chunk 4 expansions, then a twentieth of the cap), a time-bounded lookahead-greedy seed gives a full first tree, the hand-off is skipped when fewer than four hand-off costs remain, threads check the deadline before each task and start with a 4-expansion chunk; the cap is honoured to within a few expansions on wide data.  Approximate by the cap only, not by any change to the bounds"
3a9b14e,59,0.003,0,0.3082,0.0008,approximate,true,dominated,v43_anytime_50ms,"v43 run as an anytime method with the time limit capped at 50 ms per pair: returns the incumbent at the cap (certified only when the search finishes earlier).  Short caps are meaningful because search chunks scale with the cap (first chunk 4 expansions, then a twentieth of the cap), a time-bounded lookahead-greedy seed gives a full first tree, the hand-off is skipped when fewer than four hand-off costs remain, threads check the deadline before each task and start with a 4-expansion chunk; the cap is honoured to within a few expansions on wide data.  Approximate by the cap only, not by any change to the bounds"
3a9b14e,61,0.003,0,0.3077,0.0003,approximate,true,dominated,v43_anytime_100ms,"v43 run as an anytime method with the time limit capped at 100 ms per pair: returns the incumbent at the cap (certified only when the search finishes earlier).  Short caps are meaningful because search chunks scale with the cap (first chunk 4 expansions, then a twentieth of the cap), a time-bounded lookahead-greedy seed gives a full first tree, the hand-off is skipped when fewer than four hand-off costs remain, threads check the deadline before each task and start with a 4-expansion chunk; the cap is honoured to within a few expansions on wide data.  Approximate by the cap only, not by any change to the bounds"
3a9b14e,63,0.004,0,0.3074,0.0000,approximate,true,dominated,v43_anytime_300ms,"v43 run as an anytime method with the time limit capped at 300 ms per pair: returns the incumbent at the cap (certified only when the search finishes earlier); see the shorter-cap rows for the chunking, seed and hand-off rules that make caps meaningful.  Approximate by the cap only, not by any change to the bounds"
3a9b14e,63,0.004,0,0.3074,0.0000,approximate,true,dominated,v43_anytime_1000ms,"v43 run as an anytime method with the time limit capped at 1000 ms per pair: returns the incumbent at the cap (certified only when the search finishes earlier); see the shorter-cap rows for the chunking, seed and hand-off rules that make caps meaningful.  Approximate by the cap only, not by any change to the bounds"
3a9b14e,50,0.002,0,0.3091,0.0017,approximate,true,dominated,v43c_anytime_5ms,"v43 anytime (time limit capped at 5 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,52,0.002,0,0.3091,0.0017,approximate,true,dominated,v43c_anytime_10ms,"v43 anytime (time limit capped at 10 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,56,0.002,0,0.3087,0.0014,approximate,true,dominated,v43c_anytime_20ms,"v43 anytime (time limit capped at 20 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,59,0.003,0,0.3083,0.0009,approximate,true,dominated,v43c_anytime_50ms,"v43 anytime (time limit capped at 50 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,60,0.003,0,0.3077,0.0003,approximate,true,dominated,v43c_anytime_100ms,"v43 anytime (time limit capped at 100 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,62,0.004,0,0.3074,0.0000,approximate,true,dominated,v43c_anytime_300ms,"v43 anytime (time limit capped at 300 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,63,0.004,0,0.3074,0.0000,approximate,true,dominated,v43c_anytime_1000ms,"v43 anytime (time limit capped at 1000 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,46,0.001,0,0.3098,0.0024,approximate,true,dominated,v43c_anytime_1ms,"v43 anytime (time limit capped at 1 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
3a9b14e,47,0.001,0,0.3092,0.0018,approximate,true,dominated,v43c_anytime_2ms,"v43 anytime (time limit capped at 2 ms per pair, incumbent returned at the cap, certified only when the search finished earlier) with a pair-stage budget: the pair kernel of an expansion costs about nv^2 * K * W word operations (0.4 ns each), and an expansion skips the stage when that exceeds a tenth of the time limit (never binds at 30 s; under a 10 ms cap the root of a 1357-feature problem no longer costs 25 ms).  With the cap-scaled chunking, the lookahead-greedy seed and the hand-off rules of v43, caps are honoured on every pair.  Approximate by the cap only; the bounds are unchanged, only fewer of them are computed"
63cd640,48,0.001,0,0.3082,0.0008,approximate,true,dominated,v45_anytime_2ms,"v43c anytime, time limit capped at 2 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,51,0.002,0,0.3082,0.0008,approximate,true,dominated,v45_anytime_5ms,"v43c anytime, time limit capped at 5 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,52,0.002,0,0.3081,0.0007,approximate,true,dominated,v45_anytime_10ms,"v43c anytime, time limit capped at 10 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,55,0.002,0,0.3078,0.0004,approximate,true,frontier,v45_anytime_20ms,"v43c anytime, time limit capped at 20 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,59,0.003,0,0.3078,0.0004,approximate,true,dominated,v45_anytime_50ms,"v43c anytime, time limit capped at 50 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,61,0.003,0,0.3076,0.0003,approximate,true,dominated,v45_anytime_100ms,"v43c anytime, time limit capped at 100 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,63,0.005,0,0.3074,0.0000,exact,true,keep,v45_greedy_family_lns,"v43c anytime with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
